trade_date,cash,position_value,total_value,position_count,return,cum_return,quarter
20240102,1000000.0,0.0,1000000.0,0,,,2024Q1
20240103,1000000.0,0.0,1000000.0,0,0.0,0.0,2024Q1
20240104,1000000.0,0.0,1000000.0,0,0.0,0.0,2024Q1
20240105,1000000.0,0.0,1000000.0,0,0.0,0.0,2024Q1
20240108,852334.2395578,141372.0,993706.2395578,1,-0.00629376044219998,-0.00629376044219998,2024Q1
20240109,537995.0350784999,458232.0,996227.0350784999,4,0.002536761288549183,-0.0037729649214999217,2024Q1
20240110,537995.0350784999,466076.0,1004071.0350784999,4,0.007873707221147441,0.00407103507850004,2024Q1
20240111,459216.7326756999,558020.0,1017236.7326757,5,0.01311231689515946,0.01723673267570014,2024Q1
20240112,459216.7326756999,556926.0,1016142.7326757,5,-0.001075462539700478,0.01614273267570021,2024Q1
20240115,459216.7326756999,547832.0,1007048.7326757,5,-0.008949530127577376,0.0070487326757002755,2024Q1
20240116,459216.7326756999,548963.0,1008179.7326757,5,0.0011230836833435731,0.008179732675700269,2024Q1
20240117,459216.7326756999,532910.0,992126.7326757,5,-0.015922756111547143,-0.007873267324299715,2024Q1
20240118,531809.4792637,467359.0,999168.4792637,4,0.007097628111490284,-0.0008315207362996624,2024Q1
20240119,531809.4792637,463111.0,994920.4792637,4,-0.004251535239712889,-0.005079520736299581,2024Q1
20240122,682733.7503173,298439.0,981172.7503173,3,-0.013817917344081776,-0.018827249682699665,2024Q1
20240123,980486.7285879999,0.0,980486.7285879999,0,-0.0006991854686936305,-0.019513271411999655,2024Q1
20240124,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240125,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240126,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240129,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240130,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240131,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240201,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240202,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240205,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240206,980486.7285879999,0.0,980486.7285879999,0,0.0,-0.019513271411999655,2024Q1
20240207,834304.8951904,175224.0,1009528.8951904,1,0.02962015268092788,0.009528895190400455,2024Q1
20240208,857765.5492324,144690.0,1002455.5492324,1,-0.007006580982177657,0.0024555492324005446,2024Q1
20240219,857765.5492324,159198.0,1016963.5492324,1,0.014472462156660315,0.01696354923240051,2024Q1
20240220,857765.5492324,168324.0,1026089.5492324,1,0.008973772960582771,0.026089549232400477,2024Q1
20240221,1025702.6228536,0.0,1025702.6228536,0,-0.00037708831464999815,0.025702622853600365,2024Q1
20240222,1025702.6228536,0.0,1025702.6228536,0,0.0,0.025702622853600365,2024Q1
20240223,1025702.6228536,0.0,1025702.6228536,0,0.0,0.025702622853600365,2024Q1
20240226,1025702.6228536,0.0,1025702.6228536,0,0.0,0.025702622853600365,2024Q1
20240227,1025702.6228536,0.0,1025702.6228536,0,0.0,0.025702622853600365,2024Q1
20240228,1025702.6228536,0.0,1025702.6228536,0,0.0,0.025702622853600365,2024Q1
20240229,1025702.6228536,0.0,1025702.6228536,0,0.0,0.025702622853600365,2024Q1
20240301,1025702.6228536,0.0,1025702.6228536,0,0.0,0.025702622853600365,2024Q2
20240304,1025702.6228536,0.0,1025702.6228536,0,0.0,0.025702622853600365,2024Q2
20240305,871743.6900259,152322.0,1024065.6900259,1,-0.0015959136607702762,0.02406569002590042,2024Q2
20240306,632272.7102779001,399492.0,1031764.7102779001,3,0.0075180921761037744,0.0317647102779004,2024Q2
20240307,457199.35802410013,570742.0,1027941.3580241001,5,-0.003705643559732019,0.02794135802410036,2024Q2
20240308,457199.35802410013,573091.0,1030290.3580241001,5,0.0022851498109923707,0.030290358024100295,2024Q2
20240311,457199.35802410013,588961.0,1046160.3580241001,5,0.015403424749539152,0.046160358024100345,2024Q2
20240312,511506.31713110016,539242.0,1050748.3171311002,5,0.004385521848357499,0.05074831713110051,2024Q2
20240313,511506.31713110016,534587.0,1046093.3171311002,5,-0.004430176022275023,0.04609331713110043,2024Q2
20240314,511506.31713110016,544881.0,1056387.3171311002,5,0.009840422294476792,0.056387317131100456,2024Q2
20240315,609554.4146873001,453708.0,1063262.4146873,4,0.006508122016147366,0.0632624146873002,2024Q2
20240318,609554.4146873001,461625.0,1071179.4146873,4,0.007445951150571117,0.07117941468730016,2024Q2
20240319,854789.3942273001,219799.0,1074588.3942273,2,0.0031824543052809684,0.07458839422730001,2024Q2
20240320,1074083.1422660002,0.0,1074083.1422660002,0,-0.0004701818519668999,0.07408314226599999,2024Q2
20240321,1074083.1422660002,0.0,1074083.1422660002,0,0.0,0.07408314226599999,2024Q2
20240322,912803.7029450001,160244.0,1073047.702945,1,-0.0009640215736145263,0.07304770294499985,2024Q2
20240325,912803.7029450001,160244.0,1073047.702945,1,0.0,0.07304770294499985,2024Q2
20240326,660755.3901287002,409467.0,1070222.3901287,3,-0.0026329796974969844,0.0702223901286998,2024Q2
20240327,660755.3901287002,394335.0,1055090.3901287,3,-0.014139117383051847,0.05509039012869987,2024Q2
20240328,478242.3766459002,583299.0,1061541.3766459003,5,0.006114155315558589,0.06154137664590009,2024Q2
20240329,478242.3766459002,585442.0,1063684.3766459003,5,0.002018762572186361,0.0636843766459001,2024Q2
20240401,587301.1057489002,484390.0,1071691.1057489002,4,0.007527354240406625,0.07169110574889981,2024Q2
20240402,587301.1057489002,484396.0,1071697.1057489002,4,5.598628156855412e-06,0.07169710574889998,2024Q2
20240403,693514.3907443002,371112.0,1064626.3907443,3,-0.00659768041424269,0.06462639074429988,2024Q2
20240408,843500.8225759002,211372.0,1054872.8225759002,2,-0.009161493884799254,0.05487282257590009,2024Q2
20240409,971845.1178079003,86172.0,1058017.1178079003,1,0.0029807339469813954,0.05801711780790009,2024Q2
20240410,971845.1178079003,83936.0,1055781.1178079003,1,-0.0021133873567497075,0.05578111780790018,2024Q2
20240411,971845.1178079003,83076.0,1054921.1178079003,1,-0.0008145627777332853,0.05492111780790032,2024Q2
20240412,971845.1178079003,81012.0,1052857.1178079003,1,-0.0019565443947969774,0.052857117807900256,2024Q2
20240415,1052670.8955235004,0.0,1052670.8955235004,0,-0.00017687327297333244,0.05267089552350024,2024Q2
20240416,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240417,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240418,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240419,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240422,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240423,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240424,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240425,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240426,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240429,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240430,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240506,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240507,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240508,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240509,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240510,1052670.8955235004,0.0,1052670.8955235004,0,0.0,0.05267089552350024,2024Q2
20240513,897110.8835161005,153468.0,1050578.8835161005,1,-0.0019873371785010807,0.05057888351610029,2024Q2
20240514,469965.18723880046,591295.0,1061260.1872388003,5,0.010167064929909264,0.06126018723880011,2024Q2
20240515,469965.18723880046,583567.0,1053532.1872388003,5,-0.007281908897484257,0.053532187238800155,2024Q2
20240516,469965.18723880046,592039.0,1062004.1872388003,5,0.008041519853517087,0.06200418723880019,2024Q2
20240517,469965.18723880046,621940.0,1091905.1872388003,5,0.028155256221486624,0.09190518723880037,2024Q2
20240520,504811.5906359004,595523.0,1100334.5906359004,5,0.007719904159825708,0.10033459063590056,2024Q2
20240521,573918.1588274004,516908.0,1090826.1588274003,5,-0.00864140043348538,0.09082615882740042,2024Q2
20240522,573918.1588274004,523007.0,1096925.1588274003,5,0.005591175047136909,0.09692515882740027,2024Q2
20240523,564324.8584700004,518141.0,1082465.8584700003,5,-0.013181665349764393,0.08246585847000043,2024Q2
20240524,558755.2427109005,517425.0,1076180.2427109005,5,-0.005806756591828388,0.07618024271090063,2024Q2
20240527,558755.2427109005,522346.0,1081101.2427109005,5,0.004572654100770235,0.08110124271090058,2024Q2
20240528,884686.2987975006,191558.0,1076244.2987975006,2,-0.004492589335316044,0.07624429879750072,2024Q2
20240529,751814.7502878006,326599.0,1078413.7502878006,3,0.002015761191695997,0.07841375028780084,2024Q2
20240530,751814.7502878006,331243.0,1083057.7502878006,3,0.004306324913569304,0.08305775028780094,2024Q2
20240531,543126.7456627006,525926.0,1069052.7456627006,5,-0.012930986017484658,0.06905274566270103,2024Q2
20240603,649985.5433992007,404943.0,1054928.5433992008,4,-0.013211885307627513,0.05492854339920106,2024Q3
20240604,646882.0158490007,397101.0,1043983.0158490007,3,-0.010375610384880996,0.043983015849000884,2024Q3
20240605,677187.3879228006,362071.0,1039258.3879228006,3,-0.0045255793001171,0.039258387922800786,2024Q3
20240606,1038426.0953151006,0.0,1038426.0953151006,0,-0.0008008524322459243,0.03842609531510077,2024Q3
20240607,750069.6323205007,289390.0,1039459.6323205007,2,0.000995291826797251,0.03945963232050098,2024Q3
20240611,750069.6323205007,290798.0,1040867.6323205007,2,0.0013545499567471087,0.04086763232050106,2024Q3
20240612,1040199.1749579007,0.0,1040199.1749579007,0,-0.0006422116913269438,0.04019917495790093,2024Q3
20240613,1040199.1749579007,0.0,1040199.1749579007,0,0.0,0.04019917495790093,2024Q3
20240614,1040199.1749579007,0.0,1040199.1749579007,0,0.0,0.04019917495790093,2024Q3
20240617,1040199.1749579007,0.0,1040199.1749579007,0,0.0,0.04019917495790093,2024Q3
20240618,1040199.1749579007,0.0,1040199.1749579007,0,0.0,0.04019917495790093,2024Q3
20240619,1040199.1749579007,0.0,1040199.1749579007,0,0.0,0.04019917495790093,2024Q3
20240620,1040199.1749579007,0.0,1040199.1749579007,0,0.0,0.04019917495790093,2024Q3
20240621,1040199.1749579007,0.0,1040199.1749579007,0,0.0,0.04019917495790093,2024Q3
20240624,1040199.1749579007,0.0,1040199.1749579007,0,0.0,0.04019917495790093,2024Q3
20240625,461499.6691735007,565873.0,1027372.6691735007,5,-0.012330817110020376,0.027372669173501007,2024Q3
20240626,518020.5756155006,519784.0,1037804.5756155006,5,0.010153965308802748,0.03780457561550077,2024Q3
20240627,518020.5756155006,515956.0,1033976.5756155006,5,-0.0036885557165035054,0.033976575615500826,2024Q3
20240628,504239.5665959006,526558.0,1030797.5665959006,5,-0.003074546459340799,0.030797566595900827,2024Q3
20240701,500157.0476237005,542885.0,1043042.0476237005,5,0.011878647587650004,0.043042047623700785,2024Q3
20240702,500157.0476237005,554845.0,1055002.0476237005,5,0.01146646007919605,0.055002047623700756,2024Q3
20240703,529321.9631544006,530818.0,1060139.9631544007,5,0.0048700526622416085,0.060139963154400844,2024Q3
20240704,627947.7297633006,418209.0,1046156.7297633006,4,-0.013189987998842634,0.04615672976330076,2024Q3
20240705,534093.8500437007,518571.0,1052664.8500437005,5,0.006220980179396651,0.052664850043700584,2024Q3
20240708,534093.8500437007,509078.0,1043171.8500437007,5,-0.009018064961137218,0.04317185004370083,2024Q3
20240709,762286.0959771007,284690.0,1046976.0959771007,3,0.0036468065479724476,0.04697609597710084,2024Q3
20240710,859949.0808315007,185090.0,1045039.0808315007,2,-0.001850104460878077,0.04503908083150088,2024Q3
20240711,859949.0808315007,187765.0,1047714.0808315007,2,0.002559712884490084,0.04771408083150086,2024Q3
20240712,859949.0808315007,187551.0,1047500.0808315007,2,-0.0002042541986552182,0.047500080831500924,2024Q3
20240715,859949.0808315007,185518.0,1045467.0808315007,2,-0.0019408113060823684,0.04546708083150097,2024Q3
20240716,859949.0808315007,190654.0,1050603.0808315007,2,0.0049126367478879995,0.050603080831501,2024Q3
